id;ancestor_item_identifier;code;condition;default_flavour;effective_date;expiration_date;grandfathering;item_identifier;line_code;name;priority;rank;virtual_product_id
1;Frozen card;robust Marketing Wooden;high-level hack;true;2022-03-28;2022-03-28;GRANDFATHERASIS;driver;copying Metal web-enabled;Grocery homogeneous;89427;67769;1
2;portals;Rubber Lucia Wooden;niches;false;2022-03-27;2022-03-27;GRANDFATHERSTD;up Executive Officer;Buckinghamshire Savings;e-services Steel;31849;97151;2
3;definition;Account Officer;Metrics;false;2022-03-28;2022-03-28;GRANDFATHERSTD;back-end Massachusetts;Planner client-driven THX;Agent pixel;96460;56548;3
4;EXE;executive Decentralized expedite;Baby;true;2022-03-28;2022-03-28;GRANDFATHERASIS;Coves backing Grocery;Bedfordshire Engineer;Orchestrator solutions;44843;19081;4
5;Engineer Legacy task-force;Credit matrix;1080p mindshare regional;false;2022-03-28;2022-03-28;GRANDFATHERASIS;Extension users;Afghani invoice;Producer Island;18982;16101;5
6;Arkansas;Small bluetooth;California enable JBOD;true;2022-03-27;2022-03-28;GRANDFATHERASIS;Jewelery Frozen;Delaware harness Granite;Manager Phased Avon;41595;59534;6
7;transmitter IB;Port Zambia transmitter;Liberian Multi-tiered upward-trending;true;2022-03-28;2022-03-28;GRANDFATHERASIS;Georgia lime;bricks-and-clicks Marketing;cyan Michigan virtual;58764;72743;7
8;Burg;feed District Keyboard;mindshare;true;2022-03-28;2022-03-27;GRANDFATHERASIS;Optimized Wooden Sausages;Estonia navigating;primary;44238;54781;8
9;innovative Developer Savings;Hat;Sports complexity Frozen;false;2022-03-28;2022-03-27;GRANDFATHERASIS;Open-architected bluetooth;online bypass synthesize;Wooden navigating;64935;19979;9
10;Fresh syndicate Future-proofed;Health;Iranian local feed;true;2022-03-28;2022-03-28;GRANDFATHERSTD;overriding Rican solid;Factors Account;green;89691;54491;10
