id;ancestor_item_identifier;code;item_identifier;item_status;locked;name;product_code;version_number
1;Guinea-Bissau orchid B2B;azure cross-platform leverage;Island online;APPROVED;true;open-source;Agent;35648
2;Engineer;Account Buckinghamshire;Sol Data;APPROVED;false;Mobility Analyst;Unbranded;26043
3;Mayen virtual;programming bypassing;SMTP global;STAGE;true;calculating;neural Russian;6399
4;Granite;ADP Technician hacking;Bedfordshire;APPROVED;false;Money Tuna Avon;Gorgeous Steel;54059
5;maroon;actuating Refined;Cotton orange;APPROVED;true;up Account;one-to-one;54385
6;transmitter up;Small Mobility;reboot calculate Berkshire;DRAFT;true;Avon transmitting;Granite invoice multi-byte;39449
7;Generic;Granite Director optical;JSON Garden;STAGE;false;collaborative input Buckinghamshire;open-source;2259
8;Avon dynamic;back-end Branding;Account Grocery paradigms;STAGE;false;installation;silver Awesome olive;87549
9;Rustic;Turnpike bypass Balanced;Music Chicken generating;STAGE;false;Berkshire generate Designer;discrete;51338
10;lavender systems Sleek;Frozen orchid;Fords Checking;STAGE;false;Frozen Frozen 1080p;Squares Dakota program;21440
