id;ancestor_item_identifier;code;condition;default_seasoning;item_identifier;name;priority;virtual_product_flavour_id
1;Berkshire;Borders Awesome;Practical;false;bypass;online;54416;1
2;Avon;grow Persevering intangible;application;false;algorithm Shoes SSL;Salad;22031;2
3;up;Directives;Indiana;true;Rubber Indiana Towels;Station Home quantifying;52987;3
4;Pizza Ghana ability;circuit Concrete;Designer Officer;false;relationships primary Senior;Clothing Versatile;84745;4
5;Outlying;productize deposit Sleek;state Distributed client-server;true;Chips B2C extend;Granite Ergonomic Walks;34326;5
6;TCP;world-class;Tuna Terrace Avenue;true;XML Kina Hryvnia;Beauty;44839;6
7;support Concrete drive;Awesome primary Savings;Soft compelling JSON;true;mobile Keyboard;Wooden engine Unbranded;98674;7
8;edge local flexibility;service-desk withdrawal Integration;black;true;New leverage Pike;Granite Incredible;91073;8
9;intuitive;empower USB;Account real-time portals;true;Practical;Kwacha;6036;9
10;Avon;services payment driver;dot-com Hat Virginia;true;Belarus Mills;Mouse Island;65242;10
